lemma,total occ,num non neg,num neg,perc neg
neighbour,12636,12631,5,0.00039569484013928457
accord,118264,118188,76,0.0006426300480281404
size,4651,4648,3,0.0006450225757901526
pend,2705,2702,3,0.0011090573012939
rebrand,2520,2517,3,0.0011904761904761906
headquarter,3889,3884,5,0.0012856775520699408
widow,1535,1533,2,0.0013029315960912053
co-found,4564,4558,6,0.0013146362839614374
decease,3677,3672,5,0.0013598041881968997
escort,5307,5298,9,0.0016958733747880158
underlie,1154,1152,2,0.0017331022530329288
band,1123,1121,2,0.0017809439002671415
ambush,2218,2214,4,0.0018034265103697023
blackmail,1075,1073,2,0.0018604651162790699
circle,1072,1070,2,0.0018656716417910447
pioneer,5316,5306,10,0.0018811136192626034
partner,5844,5833,11,0.0018822724161533196
surround,35944,35874,70,0.001947473848208324
adjoin,3529,3522,7,0.0019835647492207425
chair,4963,4953,10,0.0020149103364900263
flank,3406,3399,7,0.002055196711685261
near,1410,1407,3,0.002127659574468085
tail,2327,2322,5,0.0021486892995272885
orphane,898,896,2,0.0022271714922048997
chronicle,1288,1285,3,0.002329192546583851
ferry,849,847,2,0.002355712603062426
culminate,5867,5853,14,0.002386228055224135
premier,11872,11843,29,0.002442722371967655
down,1223,1220,3,0.0024529844644317253
stuff,1215,1212,3,0.0024691358024691358
barb,809,807,2,0.002472187886279357
reorganize,4038,4028,10,0.0024764735017335313
wheel,1205,1202,3,0.0024896265560165973
co-author,2373,2367,6,0.0025284450063211127
rename,27664,27594,70,0.0025303643724696357
revamp,1172,1169,3,0.002559726962457338
gross,5018,5005,13,0.0025906735751295338
redesignate,2268,2262,6,0.0026455026455026454
exite,2241,2235,6,0.002677376171352075
restructure,1477,1473,4,0.002708192281651997
specialise,3655,3645,10,0.0027359781121751026
forest,2923,2915,8,0.0027369141293191925
underwent,6893,6874,19,0.002756419556071377
wound,15685,15641,44,0.0028052279247688873
nickname,4624,4611,13,0.0028114186851211074
front,1778,1773,5,0.00281214848143982
star,28605,28523,82,0.0028666317077434013
totale,1388,1384,4,0.002881844380403458
revitalize,1034,1031,3,0.0029013539651837525
choreograph,1722,1717,5,0.0029036004645760743
horrify,1033,1030,3,0.002904162633107454
rework,1377,1373,4,0.002904865649963689
pattern,1023,1020,3,0.002932551319648094
batter,1020,1017,3,0.0029411764705882353
reorganise,1016,1013,3,0.002952755905511811
alternate,3700,3689,11,0.002972972972972973
infuse,1006,1003,3,0.002982107355864811
augment,2679,2671,8,0.0029861888764464353
chop,984,981,3,0.003048780487804878
refurbish,2598,2590,8,0.003079291762894534
sneak,1948,1942,6,0.003080082135523614
task,3895,3883,12,0.0030808729139922978
found,81470,81218,252,0.0030931631275316067
inter,3229,3219,10,0.003096934035305048
average,9510,9480,30,0.0031545741324921135
refit,951,948,3,0.0031545741324921135
team,6645,6624,21,0.003160270880361174
head,30025,29930,95,0.003164029975020816
clad,948,945,3,0.0031645569620253164
syndicate,3137,3127,10,0.0031877590054191903
scout,1247,1243,4,0.0032076984763432237
power,13339,13296,43,0.003223629957268161
decommission,3071,3061,10,0.0032562683165092803
upload,2423,2415,8,0.0033016921172100704
foil,903,900,3,0.0033222591362126247
tore,1202,1198,4,0.0033277870216306157
range,15282,15231,51,0.003337259521005104
specialize,10463,10428,35,0.003345120902226895
amalgamate,2090,2083,7,0.0033492822966507177
sculpt,1481,1476,5,0.00337609723160027
corner,878,875,3,0.003416856492027335
combate,877,874,3,0.0034207525655644243
wood,1748,1742,6,0.003432494279176201
cruise,1162,1158,4,0.0034423407917383822
surmount,1161,1157,4,0.0034453057708871662
pace,865,862,3,0.003468208092485549
behead,1152,1148,4,0.003472222222222222
hover,855,852,3,0.0035087719298245615
co-host,1417,1412,5,0.0035285815102328866
inaugurate,5054,5036,18,0.003561535417491096
steam,2224,2216,8,0.0035971223021582736
engulf,829,826,3,0.0036188178528347406
slope,1654,1648,6,0.0036275695284159614
combine,33186,33065,121,0.00364611583197734
oversee,9047,9014,33,0.0036476179949154414
immigrate,2989,2978,11,0.0036801605888256944
recuperate,814,811,3,0.0036855036855036856
rang,2696,2686,10,0.00370919881305638
gild,808,805,3,0.0037128712871287127
headline,2134,2126,8,0.0037488284910965324
rumor,1323,1318,5,0.003779289493575208
besieg,2904,2893,11,0.003787878787878788
heighten,1552,1546,6,0.003865979381443299
co-star,2308,2299,9,0.00389948006932409
span,6150,6126,24,0.003902439024390244
exile,3066,3054,12,0.003913894324853229
weight,1787,1780,7,0.00391717963066592
hospitalize,1526,1520,6,0.003931847968545216
animate,6351,6326,25,0.003936387970398363
smuggle,1777,1770,7,0.0039392234102419805
befriend,3027,3015,12,0.003964321110009911
stor,1512,1506,6,0.003968253968253968
shelter,2514,2504,10,0.003977724741447892
relaunch,1506,1500,6,0.00398406374501992
station,7020,6992,28,0.003988603988603989
curate,2230,2221,9,0.004035874439461884
carve,7182,7153,29,0.00403787245892509
Growing,1473,1467,6,0.004073319755600814
frame,4892,4872,20,0.004088307440719542
herald,976,972,4,0.004098360655737705
mentor,1216,1211,5,0.004111842105263158
co-produce,2188,2179,9,0.004113345521023766
christen,972,968,4,0.00411522633744856
peak,11138,11092,46,0.004130005386963548
weave,1198,1193,5,0.004173622704507512
renumber,956,952,4,0.0041841004184100415
ensue,4775,4755,20,0.004188481675392671
auction,1188,1183,5,0.004208754208754209
vacate,3320,3306,14,0.004216867469879518
aging,1184,1179,5,0.004222972972972973
unveil,5357,5334,23,0.004293447825275341
dedicate,26530,26416,114,0.0042970222389747455
spearhead,1627,1620,7,0.0043023970497848806
house,19461,19377,84,0.004316324957607523
hurl,1154,1149,5,0.004332755632582322
embroider,921,917,4,0.004343105320304018
topple,919,915,4,0.004352557127312296
clinch,2067,2058,9,0.0043541364296081275
usher,914,910,4,0.00437636761487965
infiltrate,2055,2046,9,0.004379562043795621
rage,1366,1360,6,0.004392386530014641
disintegrate,1133,1128,5,0.00441306266548985
bolster,1570,1563,7,0.0044585987261146496
recur,4922,4900,22,0.004469727752945957
lecture,3314,3299,15,0.004526252263126132
widen,2637,2625,12,0.004550625711035267
decorate,9432,9389,43,0.0045589482612383376
weld,1095,1090,5,0.0045662100456621
moor,875,871,4,0.004571428571428572
renown,4801,4779,22,0.0045823786711101855
landscape,868,864,4,0.004608294930875576
unearth,1300,1294,6,0.004615384615384616
worsen,1945,1936,9,0.004627249357326478
total,3652,3635,17,0.004654983570646221
shape,17589,17507,82,0.004662004662004662
regroup,1072,1067,5,0.0046641791044776115
await,4068,4049,19,0.004670599803343166
string,852,848,4,0.004694835680751174
shade,851,847,4,0.004700352526439483
slain,1056,1051,5,0.004734848484848485
slice,843,839,4,0.004744958481613286
pen,2317,2306,11,0.004747518342684506
serialize,841,837,4,0.0047562425683709865
supervise,6262,6232,30,0.0047908016608112424
intern,1460,1453,7,0.004794520547945206
supplement,3542,3525,17,0.004799548277809147
encircle,1666,1658,8,0.004801920768307323
scramble,832,828,4,0.004807692307692308
devastate,3106,3091,15,0.004829362524146813
bake,1238,1232,6,0.004846526655896607
abbreviate,2267,2256,11,0.004852227613586237
deepen,1024,1019,5,0.0048828125
battle,5104,5079,25,0.004898119122257054
agitate,815,811,4,0.0049079754601227
host,36811,36628,183,0.004971340088560485
relocate,13571,13503,68,0.005010684547933093
combat,2786,2772,14,0.005025125628140704
consist,61050,60743,307,0.0050286650286650286
estimate,27485,27346,139,0.005057303983991268
author,4547,4524,23,0.005058280184737189
double,5911,5881,30,0.005075283369988158
sport,2561,2548,13,0.005076142131979695
camp,1377,1370,7,0.005083514887436456
broaden,1770,1761,9,0.005084745762711864
comprise,16315,16232,83,0.005087342935948514
retire,40032,39828,204,0.005095923261390888
color,4696,4672,24,0.005110732538330494
tape,1563,1555,8,0.005118362124120281
co-written,1952,1942,10,0.005122950819672131
captain,2924,2909,15,0.005129958960328317
dispatch,3881,3861,20,0.00515331100231899
title,27160,27020,140,0.005154639175257732
leverage,1164,1158,6,0.005154639175257732
lease,5774,5744,30,0.005195704883962591
compile,7889,7848,41,0.0051971098998605655
notwithstand,962,957,5,0.005197505197505198
intersperse,1154,1148,6,0.005199306759098787
stab,2692,2678,14,0.005200594353640416
remodel,1909,1899,10,0.005238344683080147
adorn,2099,2088,11,0.005240590757503573
fry,1525,1517,8,0.005245901639344262
shif,6475,6441,34,0.005250965250965251
organise,12503,12419,84,0.006718387586979125
shorten,4185,4163,22,0.0052568697729988055
profile,1140,1134,6,0.005263157894736842
haul,2640,2626,14,0.005303030303030303
fend,942,937,5,0.005307855626326964
commemorate,8473,8428,45,0.005310987843738935
blast,1127,1121,6,0.005323868677905945
redesign,2811,2796,15,0.005336179295624333
prompt,9543,9492,51,0.00534423137378183
bombard,1496,1488,8,0.0053475935828877
reclassify,931,926,5,0.0053705692803437165
curve,4440,4417,23,0.00518018018018018
swing,1665,1656,9,0.005405405405405406
feud,1109,1103,6,0.005410279531109108
float,6269,6235,34,0.005423512521933323
orchestrate,1652,1643,9,0.005447941888619854
fracture,1649,1640,9,0.005457853244390539
struggle,12637,12568,69,0.005460156682756984
symbolise,915,910,5,0.00546448087431694
scatter,6038,6005,33,0.00546538588936734
retake,1095,1089,6,0.005479452054794521
renovate,6204,6170,34,0.00548033526756931
busy,1089,1083,6,0.005509641873278237
strand,2351,2338,13,0.00552956188855806
pilot,1804,1794,10,0.005543237250554324
flip,1623,1614,9,0.005545286506469501
complement,2523,2509,14,0.005548949663099485
stagger,900,895,5,0.005555555555555556
assist,23903,23770,133,0.00556415512697151
edit,12835,12762,73,0.005687573042462018
redirect,1077,1071,6,0.005571030640668524
burst,2145,2133,12,0.005594405594405594
modulate,1068,1062,6,0.0056179775280898875
guide,9949,9893,56,0.005628706402653533
popularize,2478,2464,14,0.005649717514124294
merge,18743,18637,106,0.005655444699354426
induct,6879,6840,39,0.0056694286960314
launch,49539,49257,282,0.005692484709017138
customize,1402,1394,8,0.005706134094151213
simplify,3839,3817,22,0.0057306590257879654
redevelop,1570,1561,9,0.005732484076433121
propose,40006,39776,230,0.005749137629355597
sweep,5734,5701,33,0.005755144750610394
knight,1911,1900,11,0.0057561486132914706
donate,14242,14160,82,0.005757618312034827
emigrate,6075,6040,35,0.005761316872427984
situate,15270,15182,88,0.005762933857236412
disguis,2590,2575,15,0.005791505791505791
paralyze,1032,1026,6,0.005813953488372093
fuel,3096,3078,18,0.005813953488372093
urge,8253,8205,48,0.0058160668847691745
slam,859,854,5,0.005820721769499418
preside,5494,5462,32,0.005824535857298871
defeat,62444,62080,364,0.005829222983793479
dwindle,1372,1364,8,0.0058309037900874635
patrol,2904,2887,17,0.005853994490358127
devise,3921,3898,23,0.005865850548329507
nurture,1193,1186,7,0.00586756077116513
debut,14827,14740,87,0.005867673838268025
thwart,1692,1682,10,0.00591016548463357
drift,2197,2184,13,0.005917159763313609
conspire,1510,1501,9,0.005960264900662252
tease,1002,996,6,0.005988023952095809
simulcast,1002,996,6,0.005988023952095809
exemplify,1836,1825,11,0.005991285403050109
begin,257682,256174,1508,0.005852174385482882
stream,2166,2153,13,0.006001846722068329
appoint,78303,77832,471,0.006015095207080189
enlarge,4937,4907,30,0.006076564715414219
soak,1147,1140,7,0.006102877070619006
refine,3266,3246,20,0.00612369871402327
lure,2448,2433,15,0.006127450980392157
trick,1958,1946,12,0.006128702757916241
truncate,1142,1135,7,0.006129597197898424
